brand_name,total_products,impressions,clicks,cart_adds,orders,units_sold,revenue,brand_ctr_pct,brand_click_to_cart_rate_pct,brand_click_to_purchase_rate_pct,revenue_per_impression,avg_price,avg_product_rating,total_catalog_reviews,total_loves,avg_return_rate_pct,avg_stockout_rate_pct,avg_positive_review_pct,avg_negative_review_pct,avg_ranking_score,hero_products,hidden_gems,high_visibility_low_conversion_products,return_review_risk_products,stockout_revenue_risk_products,brand_action_segment
iNNBEAUTY PROJECT,15,4159.0,883.0,166.0,67.0,110.0,3244.7,21.23,18.8,7.59,0.78,29.6,4.53,2769.0,233422.0,3.33,14.34,87.92,7.31,3.43,7.0,1.0,1.0,0.0,1.0,Normal Brand
Sol de Janeiro,43,4049.0,889.0,174.0,75.0,110.0,3242.4,21.96,19.57,8.44,0.8,28.93,4.2,35401.0,3442913.0,7.27,17.32,1.74,0.32,3.09,15.0,0.0,9.0,3.0,0.0,Conversion Problem Brand
Soleil Toujours,7,1923.0,505.0,91.0,39.0,65.0,3124.5,26.26,18.02,7.72,1.62,49.43,4.56,99.0,11544.0,4.16,1.45,35.95,2.86,3.86,4.0,0.0,0.0,1.0,0.0,Normal Brand
NUDESTIX,45,2869.0,676.0,144.0,56.0,98.0,3092.75,23.56,21.3,8.28,1.08,33.11,4.26,5713.0,756265.0,0.28,3.21,9.37,0.64,3.12,7.0,3.0,2.0,0.0,0.0,Hidden Opportunity Brand
SOBEL SKIN Rx,6,1081.0,267.0,37.0,18.0,33.0,3087.25,24.7,13.86,6.74,2.86,81.83,4.42,313.0,14643.0,1.52,0.82,70.94,6.88,3.15,2.0,0.0,0.0,0.0,0.0,Normal Brand
Alpha-H,9,1681.0,398.0,73.0,29.0,46.0,3080.7,23.68,18.34,7.29,1.83,64.11,4.38,1265.0,62817.0,1.59,1.8,84.21,9.28,3.35,4.0,1.0,0.0,0.0,0.0,Normal Brand
ROSE Ingleton MD,8,1678.0,436.0,81.0,33.0,46.0,3062.5,25.98,18.58,7.57,1.83,58.13,4.4,250.0,19138.0,1.25,1.51,82.8,3.08,3.76,3.0,1.0,0.0,0.0,0.0,Normal Brand
KILIAN Paris,29,979.0,237.0,32.0,15.0,24.0,2931.0,24.21,13.5,6.33,2.99,193.45,4.13,6146.0,529273.0,3.45,0.6,0.0,0.0,2.79,0.0,1.0,0.0,1.0,0.0,Normal Brand
PATRICK TA,31,3508.0,805.0,142.0,60.0,93.0,2809.1,22.95,17.64,7.45,0.8,33.94,4.43,13983.0,1210440.0,1.05,17.0,0.0,0.0,3.26,9.0,0.0,5.0,0.0,0.0,Conversion Problem Brand
Nutrafol,10,1119.0,280.0,42.0,23.0,35.0,2798.55,25.02,15.0,8.21,2.5,70.5,4.72,1433.0,31388.0,5.0,0.93,0.0,0.0,3.44,3.0,2.0,0.0,0.0,0.0,Normal Brand
NuFACE,15,1190.0,268.0,25.0,7.0,10.0,2776.15,22.52,9.33,2.61,2.33,288.27,3.69,495.0,65685.0,0.0,20.38,49.91,25.29,2.46,0.0,0.0,4.0,5.0,0.0,Conversion Problem Brand
MACRENE actives,5,1099.0,281.0,29.0,11.0,20.0,2752.5,25.57,10.32,3.91,2.5,147.0,4.89,114.0,1505.0,0.0,0.44,95.81,1.03,3.87,1.0,0.0,0.0,0.0,0.0,Normal Brand
Glossier,33,3937.0,993.0,160.0,68.0,116.0,2725.4,25.22,16.11,6.85,0.69,23.55,3.89,2327.0,732666.0,2.13,3.71,29.75,7.67,3.03,6.0,1.0,1.0,4.0,0.0,Customer Experience Risk Brand
Rare Beauty by Selena Gomez,40,3523.0,859.0,193.0,83.0,135.0,2719.35,24.38,22.47,9.66,0.77,21.68,4.31,32145.0,5724687.0,3.44,6.11,0.0,0.0,3.37,12.0,0.0,5.0,3.0,0.0,Conversion Problem Brand
HUM Nutrition,29,2509.0,625.0,125.0,58.0,97.0,2715.2,24.91,20.0,9.28,1.08,30.0,4.28,5447.0,378442.0,0.98,4.74,68.24,9.03,3.12,5.0,3.0,0.0,0.0,0.0,Hidden Opportunity Brand
amika,49,2324.0,556.0,116.0,48.0,79.0,2649.5,23.92,20.86,8.63,1.14,44.96,4.04,8761.0,1070493.0,1.77,15.22,0.0,0.0,2.85,6.0,3.0,3.0,1.0,0.0,Hidden Opportunity Brand
Jo Malone London,88,1478.0,325.0,40.0,21.0,31.0,2482.9,21.99,12.31,6.46,1.68,100.51,3.94,3951.0,789427.0,1.14,7.39,0.0,0.0,2.46,0.0,7.0,0.0,1.0,1.0,Hidden Opportunity Brand
Curlsmith,51,2720.0,673.0,122.0,48.0,84.0,2412.4,24.74,18.13,7.13,0.89,31.35,4.52,1259.0,57029.0,1.14,4.59,0.0,0.0,3.1,3.0,12.0,0.0,2.0,0.0,Hidden Opportunity Brand
KVD Beauty,36,3564.0,800.0,135.0,55.0,85.0,2305.79,22.45,16.88,6.88,0.65,30.15,3.95,68248.0,2347195.0,1.16,18.14,0.0,0.0,2.97,9.0,0.0,7.0,0.0,0.0,Conversion Problem Brand
CAY SKIN,6,2233.0,585.0,116.0,51.0,80.0,2203.4,26.2,19.83,8.72,0.99,28.0,4.51,805.0,64909.0,1.67,0.55,70.66,8.89,3.83,4.0,1.0,0.0,0.0,0.0,Normal Brand
The Outset,8,1229.0,319.0,58.0,28.0,50.0,2107.7,25.96,18.18,8.78,1.71,43.25,4.64,1164.0,32911.0,6.25,2.47,91.13,3.28,3.53,5.0,0.0,0.0,1.0,0.0,Normal Brand
Natasha Denona,40,1836.0,457.0,75.0,33.0,51.0,2068.2,24.89,16.41,7.22,1.13,42.4,4.21,6844.0,1100564.0,0.0,18.56,0.0,0.0,2.95,5.0,3.0,1.0,0.0,0.0,Hidden Opportunity Brand
beautyblender,22,3174.0,819.0,154.0,62.0,96.0,2052.65,25.8,18.8,7.57,0.65,24.59,4.24,28331.0,1290675.0,4.21,5.55,0.0,0.0,3.32,8.0,0.0,7.0,1.0,0.0,Conversion Problem Brand
Community Sixty-Six,9,2808.0,700.0,136.0,58.0,91.0,2020.0,24.93,19.43,8.29,0.72,22.89,3.98,1018.0,13855.0,3.63,2.31,73.01,14.87,3.25,6.0,0.0,0.0,2.0,0.0,Normal Brand
Saie,17,2909.0,713.0,119.0,46.0,70.0,2012.45,24.51,16.69,6.45,0.69,26.53,4.34,6350.0,888977.0,3.88,12.88,4.21,0.87,3.23,5.0,2.0,1.0,1.0,0.0,Normal Brand
T3,26,497.0,117.0,22.0,8.0,15.0,1940.67,23.54,18.8,6.84,3.9,131.03,4.09,2093.0,178430.0,9.62,0.58,0.0,0.0,2.73,0.0,3.0,0.0,3.0,0.0,Hidden Opportunity Brand
CHANEL,46,979.0,246.0,32.0,14.0,20.0,1910.0,25.13,13.01,5.69,1.95,114.83,4.37,4296.0,1296407.0,2.17,5.19,0.0,0.0,2.82,0.0,8.0,1.0,1.0,0.0,Hidden Opportunity Brand
The Nue Co.,12,1281.0,304.0,41.0,21.0,34.0,1831.3,23.73,13.49,6.91,1.43,50.67,4.59,957.0,34974.0,0.0,0.57,66.08,3.55,3.3,3.0,2.0,1.0,0.0,0.0,Normal Brand
Valentino,30,760.0,193.0,32.0,19.0,31.0,1763.3,25.39,16.58,9.84,2.32,77.53,4.37,12135.0,590509.0,1.67,7.53,0.0,0.0,3.19,0.0,6.0,0.0,0.0,0.0,Hidden Opportunity Brand
Wishful,10,1955.0,467.0,71.0,33.0,51.0,1754.95,23.89,15.2,7.07,0.9,40.8,4.23,6771.0,208267.0,5.0,1.94,80.93,12.4,3.14,2.0,0.0,0.0,2.0,0.0,Normal Brand
TAN-LUXE,15,1252.0,307.0,59.0,23.0,36.0,1732.9,24.52,19.22,7.49,1.38,46.13,3.86,1500.0,198723.0,1.33,1.1,63.28,16.73,2.93,5.0,0.0,0.0,3.0,0.0,Customer Experience Risk Brand
Hyper Skin,5,1462.0,371.0,70.0,29.0,40.0,1703.2,25.38,18.87,7.82,1.16,41.8,4.31,332.0,37707.0,4.0,1.32,85.21,10.08,3.69,2.0,0.0,0.0,1.0,0.0,Normal Brand
Verb,44,1674.0,412.0,80.0,42.0,80.0,1656.5,24.61,19.42,10.19,0.99,23.07,4.18,12090.0,554493.0,2.27,3.41,0.0,0.0,3.08,5.0,7.0,3.0,1.0,0.0,Hidden Opportunity Brand
ALTERNA Haircare,45,1596.0,383.0,65.0,30.0,45.0,1585.85,24.0,16.97,7.83,0.99,37.84,4.27,8673.0,311718.0,1.11,12.15,0.0,0.0,2.85,4.0,4.0,2.0,1.0,0.0,Hidden Opportunity Brand
HERMÈS,31,577.0,171.0,24.0,8.0,15.0,1580.05,29.64,14.04,4.68,2.74,117.03,4.3,2173.0,246447.0,0.0,10.23,0.0,0.0,2.77,0.0,2.0,0.0,0.0,0.0,Normal Brand
Ellis Brooklyn,38,724.0,150.0,34.0,16.0,21.0,1561.8,20.72,22.67,10.67,2.16,69.03,4.12,3737.0,221682.0,0.88,0.94,0.0,0.0,2.56,0.0,3.0,0.0,1.0,0.0,Hidden Opportunity Brand
Freck Beauty,11,1307.0,324.0,66.0,30.0,52.0,1556.0,24.79,20.37,9.26,1.19,27.73,4.33,2797.0,198484.0,7.2,1.3,15.84,1.33,3.22,4.0,1.0,1.0,2.0,0.0,Normal Brand
St. Tropez,21,1358.0,359.0,71.0,29.0,41.0,1519.9,26.44,19.78,8.08,1.12,34.9,4.05,5621.0,207860.0,5.75,5.87,55.1,16.5,3.14,4.0,2.0,2.0,4.0,0.0,Customer Experience Risk Brand
shu uemura,43,924.0,233.0,46.0,17.0,27.0,1433.4,25.22,19.74,7.3,1.55,54.93,4.41,5978.0,159120.0,0.0,0.63,0.0,0.0,2.93,1.0,14.0,0.0,0.0,0.0,Hidden Opportunity Brand
Kate McLeod,12,1206.0,333.0,75.0,34.0,50.0,1400.55,27.61,22.52,10.21,1.16,31.25,4.75,1089.0,29383.0,3.75,1.03,7.71,0.25,3.82,6.0,0.0,0.0,1.0,0.0,Normal Brand
HABIT,3,1431.0,393.0,81.0,32.0,47.0,1395.0,27.46,20.61,8.14,0.97,30.0,4.52,454.0,23952.0,12.5,0.64,87.68,10.02,3.92,2.0,0.0,0.0,1.0,0.0,Normal Brand
Wander Beauty,13,768.0,199.0,40.0,22.0,41.0,1365.7,25.91,20.1,11.06,1.78,28.77,4.2,2193.0,199409.0,1.54,1.1,17.41,2.11,3.06,3.0,0.0,0.0,0.0,0.0,Normal Brand
Iconic London,19,1333.0,320.0,55.0,26.0,48.0,1331.3,24.01,17.19,8.13,1.0,28.84,4.18,1225.0,318893.0,7.46,11.87,9.37,0.88,2.92,4.0,0.0,2.0,1.0,0.0,Normal Brand
Tower 28 Beauty,13,855.0,252.0,51.0,25.0,47.0,1315.8,29.47,20.24,9.92,1.54,19.77,4.34,6768.0,1195039.0,0.43,8.96,17.41,3.62,3.04,1.0,1.0,0.0,0.0,0.0,Normal Brand
DAMDAM,8,1252.0,328.0,56.0,17.0,29.0,1315.55,26.2,17.07,5.18,1.05,48.13,4.75,1127.0,33173.0,5.0,0.93,95.17,1.31,3.63,2.0,0.0,1.0,0.0,0.0,Normal Brand
IGK,42,1766.0,434.0,79.0,32.0,47.0,1310.95,24.58,18.2,7.37,0.74,28.57,3.99,8650.0,391224.0,3.57,15.06,0.0,0.0,2.73,4.0,0.0,4.0,2.0,0.0,Conversion Problem Brand
RANAVAT,13,914.0,223.0,33.0,15.0,20.0,1289.2,24.4,14.8,6.73,1.41,66.77,4.56,1630.0,39422.0,0.0,0.76,55.95,2.18,3.29,3.0,1.0,0.0,0.0,0.0,Normal Brand
Slip,16,1660.0,388.0,59.0,21.0,34.0,1279.2,23.37,15.21,5.41,0.77,59.06,3.67,1536.0,410068.0,1.09,6.78,17.55,6.08,2.32,0.0,0.0,0.0,4.0,0.0,Customer Experience Risk Brand
Commodity,48,851.0,236.0,30.0,14.0,19.0,1235.9,27.73,12.71,5.93,1.45,80.67,4.32,1748.0,164230.0,0.0,0.62,0.0,0.0,2.88,0.0,11.0,0.0,0.0,0.0,Hidden Opportunity Brand
Naturally Serious,11,1154.0,309.0,53.0,25.0,38.0,1223.9,26.78,17.15,8.09,1.06,32.36,4.5,1407.0,40650.0,1.82,1.35,88.37,6.85,3.45,4.0,1.0,0.0,1.0,0.0,Normal Brand
WASO,8,1467.0,336.0,66.0,27.0,40.0,1205.65,22.9,19.64,8.04,0.82,34.5,4.44,3680.0,26114.0,2.08,38.32,86.62,3.51,2.93,1.0,0.0,0.0,1.0,1.0,Normal Brand
Danessa Myricks Beauty,24,1180.0,298.0,54.0,23.0,37.0,1186.0,25.25,18.12,7.72,1.01,33.54,4.35,4410.0,913093.0,1.81,5.32,3.73,0.31,2.94,2.0,4.0,0.0,1.0,0.0,Hidden Opportunity Brand
The 7 Virtues,24,563.0,154.0,28.0,14.0,19.0,1149.0,27.35,18.18,9.09,2.04,61.08,4.38,4975.0,267887.0,4.17,5.15,0.0,0.0,3.22,0.0,7.0,0.0,1.0,0.0,Hidden Opportunity Brand
AERIN,24,372.0,96.0,20.0,6.0,12.0,1135.0,25.81,20.83,6.25,3.05,103.33,4.0,1364.0,142960.0,0.0,9.2,0.0,0.0,2.6,0.0,1.0,0.0,0.0,0.0,Normal Brand
Juliette Has a Gun,32,638.0,153.0,27.0,11.0,17.0,1125.9,23.98,17.65,7.19,1.76,80.53,3.91,7308.0,402043.0,0.0,3.82,0.0,0.0,2.57,0.0,2.0,0.0,0.0,0.0,Normal Brand
By Rosie Jane,45,1034.0,255.0,36.0,17.0,26.0,1116.85,24.66,14.12,6.67,1.08,43.2,4.2,1737.0,105501.0,2.22,3.07,0.0,0.0,2.73,1.0,5.0,2.0,1.0,0.0,Hidden Opportunity Brand
caliray,12,796.0,227.0,49.0,24.0,37.0,1094.25,28.52,21.59,10.57,1.37,31.42,4.46,2016.0,184139.0,1.19,9.22,7.64,0.35,3.61,5.0,1.0,0.0,0.0,0.0,Normal Brand
Acqua di Parma,15,229.0,57.0,13.0,6.0,10.0,1091.45,24.89,22.81,10.53,4.77,125.4,4.13,282.0,35576.0,10.0,7.12,0.0,0.0,3.03,0.0,4.0,0.0,1.0,0.0,Hidden Opportunity Brand
BondiBoost,34,1385.0,359.0,57.0,21.0,41.0,1087.59,25.92,15.88,5.85,0.79,28.62,4.78,7897.0,244344.0,0.0,4.21,0.0,0.0,3.19,2.0,9.0,1.0,0.0,0.0,Hidden Opportunity Brand
COLOR WOW,33,1163.0,306.0,61.0,26.0,43.0,1016.25,26.31,19.93,8.5,0.87,23.89,4.09,4645.0,452286.0,1.52,0.91,0.0,0.0,3.01,2.0,3.0,0.0,1.0,0.0,Hidden Opportunity Brand
MAKEUP BY MARIO,35,1122.0,262.0,51.0,23.0,37.0,993.3,23.35,19.47,8.78,0.89,29.86,4.02,5125.0,1998487.0,1.43,6.8,0.0,0.0,2.55,2.0,3.0,0.0,1.0,0.0,Hidden Opportunity Brand
ONE/SIZE by Patrick Starrr,29,978.0,235.0,45.0,23.0,37.0,985.1,24.03,19.15,9.79,1.01,26.14,4.28,10196.0,839117.0,0.0,8.06,5.45,1.12,2.88,2.0,2.0,0.0,0.0,0.0,Normal Brand
Paco Rabanne,15,273.0,69.0,11.0,6.0,9.0,983.1,25.27,15.94,8.7,3.6,99.87,4.39,1450.0,78196.0,0.0,7.01,0.0,0.0,2.99,0.0,4.0,0.0,0.0,0.0,Hidden Opportunity Brand
DERMAFLASH,5,315.0,92.0,11.0,5.0,7.0,973.2,29.21,11.96,5.43,3.09,96.6,4.05,512.0,106261.0,0.0,1.48,55.7,14.64,3.29,1.0,0.0,0.0,0.0,0.0,Normal Brand
JVN,17,1231.0,312.0,59.0,25.0,45.0,968.35,25.35,18.91,8.01,0.79,22.65,3.99,5615.0,336869.0,3.53,7.19,0.0,0.0,3.07,3.0,0.0,0.0,1.0,0.0,Normal Brand
BURBERRY,26,521.0,133.0,19.0,6.0,13.0,963.0,25.53,14.29,4.51,1.85,90.65,4.42,5886.0,412771.0,3.85,16.07,0.0,0.0,2.77,0.0,3.0,0.0,1.0,1.0,Hidden Opportunity Brand
Melt Cosmetics,30,628.0,150.0,34.0,18.0,28.0,957.0,23.89,22.67,12.0,1.52,37.67,4.07,1845.0,506648.0,3.33,0.89,0.0,0.0,2.84,0.0,5.0,0.0,1.0,0.0,Hidden Opportunity Brand
EADEM,3,685.0,160.0,23.0,11.0,15.0,919.4,23.36,14.38,6.88,1.34,52.0,4.64,474.0,31740.0,4.76,36.07,91.35,5.85,3.32,2.0,0.0,1.0,0.0,0.0,Normal Brand
Topicals,6,1134.0,296.0,54.0,17.0,31.0,910.1,26.1,18.24,5.74,0.8,29.0,4.04,2348.0,386305.0,3.33,0.64,21.07,8.92,3.41,0.0,0.0,0.0,2.0,0.0,Normal Brand
Fable & Mane,13,800.0,176.0,30.0,18.0,28.0,897.1,22.0,17.05,10.23,1.12,30.77,4.3,5503.0,281350.0,1.28,8.3,0.0,0.0,2.9,4.0,1.0,0.0,0.0,0.0,Normal Brand
PATTERN by Tracee Ellis Ross,48,1247.0,304.0,57.0,27.0,51.0,870.9,24.38,18.75,8.88,0.7,18.15,4.26,1521.0,228570.0,3.13,2.83,0.0,0.0,2.83,1.0,8.0,1.0,2.0,0.0,Hidden Opportunity Brand
Westman Atelier,26,743.0,187.0,25.0,11.0,19.0,862.3,25.17,13.37,5.88,1.16,67.27,3.96,3028.0,433457.0,3.85,4.36,0.0,0.0,2.72,2.0,1.0,1.0,1.0,0.0,Normal Brand
rms beauty,11,738.0,175.0,32.0,16.0,23.0,850.6,23.71,18.29,9.14,1.15,35.64,4.24,3261.0,288265.0,10.91,10.64,0.0,0.0,3.27,2.0,2.0,1.0,1.0,0.0,Normal Brand
PROVEN Skincare,1,371.0,101.0,14.0,4.0,5.0,824.45,27.22,13.86,3.96,2.22,169.99,4.34,209.0,1660.0,20.0,0.0,81.34,7.66,3.9,0.0,0.0,0.0,1.0,0.0,Normal Brand
BREAD BEAUTY SUPPLY,15,643.0,128.0,21.0,13.0,19.0,795.8,19.91,16.41,10.16,1.24,28.13,4.34,1212.0,104731.0,0.0,7.23,0.0,0.0,2.75,1.0,0.0,1.0,0.0,0.0,Normal Brand
SKYLAR,24,533.0,131.0,18.0,7.0,12.0,789.0,24.58,13.74,5.34,1.48,60.42,4.28,5611.0,176339.0,0.0,0.78,0.0,0.0,2.74,0.0,1.0,0.0,0.0,0.0,Normal Brand
dae,18,613.0,161.0,37.0,15.0,26.0,763.4,26.26,22.98,9.32,1.25,25.72,4.36,6248.0,311716.0,0.0,12.18,0.0,0.0,3.01,1.0,4.0,0.0,0.0,0.0,Hidden Opportunity Brand
LAWLESS,24,839.0,197.0,34.0,16.0,27.0,754.4,23.48,17.26,8.12,0.9,27.46,4.24,5820.0,623944.0,0.0,0.99,3.83,0.22,2.84,2.0,1.0,0.0,0.0,0.0,Normal Brand
KAYALI,28,587.0,147.0,26.0,11.0,19.0,731.45,25.04,17.69,7.48,1.25,66.82,3.86,6340.0,689347.0,0.0,8.19,0.0,0.0,2.54,0.0,1.0,0.0,0.0,0.0,Normal Brand
NAILS INC.,25,1092.0,284.0,55.0,22.0,34.0,713.6,26.01,19.37,7.75,0.65,17.06,3.82,1578.0,277456.0,0.0,12.65,0.0,0.0,2.73,3.0,4.0,0.0,0.0,0.0,Hidden Opportunity Brand
LYS Beauty,12,849.0,238.0,48.0,24.0,38.0,713.3,28.03,20.17,10.08,0.84,18.67,4.46,2073.0,363763.0,0.0,2.31,0.0,0.0,3.47,4.0,1.0,0.0,0.0,0.0,Normal Brand
Olaplex,14,641.0,158.0,36.0,18.0,27.0,708.0,24.65,22.78,11.39,1.1,29.71,4.19,16923.0,2326883.0,8.57,8.42,0.0,0.0,3.08,2.0,1.0,0.0,1.0,0.0,Normal Brand
Dolce&Gabbana,20,438.0,83.0,12.0,3.0,7.0,695.0,18.95,14.46,3.61,1.59,86.0,4.44,11200.0,408258.0,0.0,30.89,0.0,0.0,2.51,0.0,4.0,0.0,0.0,0.0,Hidden Opportunity Brand
Ceremonia,23,1196.0,291.0,38.0,18.0,30.0,679.45,24.33,13.06,6.19,0.57,27.3,4.32,1466.0,74235.0,0.0,0.61,0.0,0.0,2.86,2.0,2.0,2.0,0.0,0.0,Normal Brand
Isle of Paradise,20,948.0,222.0,39.0,16.0,23.0,672.5,23.42,17.57,7.21,0.71,27.2,3.83,6107.0,522529.0,5.0,11.25,56.42,21.17,2.65,2.0,0.0,2.0,6.0,0.0,Customer Experience Risk Brand
Ralph Lauren,9,242.0,62.0,5.0,3.0,7.0,650.5,25.62,8.06,4.84,2.69,92.67,4.59,10273.0,70953.0,0.0,1.89,0.0,0.0,3.02,0.0,1.0,0.0,0.0,0.0,Normal Brand
Floral Street,20,372.0,88.0,11.0,7.0,12.0,630.3,23.66,12.5,7.95,1.69,49.6,3.73,3500.0,80974.0,0.0,0.96,0.0,0.0,2.64,0.0,0.0,0.0,0.0,0.0,Normal Brand
VOLUSPA,62,1160.0,285.0,43.0,14.0,23.0,622.4,24.57,15.09,4.91,0.54,27.87,4.27,2573.0,260374.0,1.61,4.03,0.0,0.0,2.64,0.0,7.0,0.0,1.0,0.0,Hidden Opportunity Brand
PHLUR,22,428.0,104.0,18.0,8.0,12.0,617.0,24.3,17.31,7.69,1.44,59.59,3.84,1712.0,171240.0,2.27,5.04,0.0,0.0,2.61,0.0,1.0,0.0,1.0,0.0,Normal Brand
19-69,14,220.0,52.0,8.0,3.0,4.0,615.0,23.64,15.38,5.77,2.8,112.86,3.72,162.0,31916.0,0.0,0.29,0.0,0.0,2.35,0.0,2.0,0.0,0.0,0.0,Normal Brand
Bon Parfumeur,17,276.0,78.0,15.0,5.0,10.0,613.05,28.26,19.23,6.41,2.22,68.94,4.55,64.0,16593.0,0.0,1.35,0.0,0.0,3.11,0.0,3.0,0.0,0.0,0.0,Hidden Opportunity Brand
INC.redible,16,1061.0,243.0,46.0,21.0,41.0,608.95,22.9,18.93,8.64,0.57,13.69,3.72,1252.0,242438.0,0.0,6.95,19.52,2.91,2.94,2.0,1.0,2.0,0.0,0.0,Normal Brand
Maison Louis Marie,30,1177.0,275.0,23.0,8.0,11.0,599.7,23.36,8.36,2.91,0.51,53.3,3.9,1179.0,176180.0,0.0,0.47,0.0,0.0,2.54,0.0,0.0,2.0,0.0,0.0,Normal Brand
HAUS LABS BY LADY GAGA,12,626.0,177.0,32.0,14.0,20.0,598.9,28.27,18.08,7.91,0.96,31.5,4.26,4428.0,663057.0,4.17,1.62,0.0,0.0,3.25,2.0,1.0,0.0,0.0,0.0,Normal Brand
ghd,19,361.0,90.0,8.0,2.0,3.0,589.0,24.93,8.89,2.22,1.63,191.74,4.13,2514.0,158413.0,0.0,0.82,0.0,0.0,2.45,0.0,1.0,0.0,0.0,0.0,Normal Brand
Buxom,7,440.0,121.0,35.0,15.0,24.0,584.75,27.5,28.93,12.4,1.33,24.0,4.23,26629.0,912033.0,0.0,1.41,0.0,0.0,3.66,2.0,1.0,0.0,0.0,0.0,Normal Brand
REFY,16,693.0,167.0,34.0,10.0,18.0,558.0,24.1,20.36,5.99,0.81,29.31,3.94,1788.0,453006.0,8.33,6.71,0.0,0.0,2.89,0.0,0.0,0.0,2.0,0.0,Normal Brand
FORVR Mood,23,390.0,87.0,16.0,8.0,14.0,547.1,22.31,18.39,9.2,1.4,43.17,3.6,314.0,61004.0,4.35,9.33,0.0,0.0,2.39,0.0,4.0,0.0,1.0,0.0,Hidden Opportunity Brand
Prada,15,344.0,82.0,9.0,4.0,6.0,546.8,23.84,10.98,4.88,1.59,82.47,4.43,7147.0,280882.0,0.0,20.68,0.0,0.0,2.83,0.0,2.0,0.0,0.0,0.0,Normal Brand
Boy Smells,31,529.0,106.0,23.0,9.0,11.0,537.1,20.04,21.7,8.49,1.02,51.58,4.22,1050.0,57285.0,0.0,4.12,0.0,0.0,2.53,0.0,4.0,0.0,0.0,0.0,Hidden Opportunity Brand
K18 Biomimetic Hairscience,5,401.0,107.0,23.0,10.0,18.0,537.0,26.68,21.5,9.35,1.34,38.4,4.6,7107.0,258834.0,0.0,1.75,0.0,0.0,3.76,3.0,0.0,0.0,0.0,0.0,Normal Brand
Dame,11,251.0,55.0,6.0,3.0,7.0,533.75,21.91,10.91,5.45,2.13,73.91,4.41,1026.0,29464.0,0.0,18.93,0.0,0.0,2.39,0.0,1.0,0.0,0.0,0.0,Normal Brand
Rossano Ferretti Parma,26,647.0,151.0,16.0,7.0,11.0,530.65,23.34,10.6,4.64,0.82,43.88,4.12,228.0,22000.0,1.92,8.34,0.0,0.0,2.47,2.0,1.0,1.0,1.0,0.0,Normal Brand
L'Occitane,22,617.0,144.0,19.0,10.0,12.0,526.5,23.34,13.19,6.94,0.85,40.55,4.37,11168.0,470947.0,1.52,1.61,12.87,3.81,2.89,0.0,4.0,1.0,2.0,0.0,Hidden Opportunity Brand
Jouer Cosmetics,16,695.0,180.0,30.0,14.0,19.0,512.75,25.9,16.67,7.78,0.74,27.81,3.93,1719.0,306507.0,0.0,1.01,0.0,0.0,2.91,1.0,1.0,2.0,0.0,0.0,Normal Brand
MERIT,10,759.0,188.0,30.0,11.0,14.0,494.0,24.77,15.96,5.85,0.65,29.4,4.39,4916.0,884854.0,10.0,1.01,9.1,0.25,3.18,1.0,0.0,0.0,1.0,0.0,Normal Brand
PMD,9,156.0,33.0,5.0,2.0,3.0,483.3,21.15,15.15,6.06,3.1,177.89,4.48,801.0,85340.0,0.0,0.52,86.91,9.5,2.52,0.0,1.0,0.0,0.0,0.0,Normal Brand
stila,11,631.0,162.0,32.0,11.0,19.0,468.4,25.67,19.75,6.79,0.74,26.91,4.1,19215.0,1326721.0,1.82,1.6,0.0,0.0,2.88,1.0,0.0,1.0,0.0,0.0,Normal Brand
Mizani,34,750.0,185.0,30.0,12.0,18.0,443.75,24.67,16.22,6.49,0.59,26.32,4.27,10968.0,159206.0,2.94,3.6,0.0,0.0,2.75,0.0,6.0,1.0,1.0,0.0,Hidden Opportunity Brand
Montblanc,8,148.0,38.0,10.0,5.0,8.0,421.75,25.68,26.32,13.16,2.85,78.88,4.46,1026.0,25303.0,0.0,13.05,0.0,0.0,3.38,0.0,3.0,0.0,0.0,0.0,Hidden Opportunity Brand
adwoa beauty,19,424.0,102.0,17.0,11.0,17.0,415.1,24.06,16.67,10.78,0.98,25.68,4.42,4053.0,139337.0,0.0,6.46,0.0,0.0,2.95,1.0,4.0,0.0,0.0,0.0,Hidden Opportunity Brand
Gisou,19,477.0,128.0,14.0,4.0,6.0,398.0,26.83,10.94,3.13,0.83,41.95,4.4,8349.0,522437.0,0.0,6.36,5.2,0.0,2.86,0.0,1.0,1.0,0.0,0.0,Normal Brand
Prima,8,463.0,79.0,11.0,6.0,11.0,395.2,17.06,13.92,7.59,0.85,38.88,4.3,984.0,48579.0,0.0,13.22,22.5,0.59,2.59,1.0,1.0,1.0,0.0,0.0,Normal Brand
Carolina Herrera,19,358.0,72.0,7.0,3.0,4.0,395.0,20.11,9.72,4.17,1.1,73.0,4.24,2565.0,380631.0,0.0,32.2,0.0,0.0,2.45,0.0,3.0,0.0,0.0,0.0,Hidden Opportunity Brand
Kaja,20,960.0,245.0,34.0,14.0,17.0,390.15,25.52,13.88,5.71,0.41,22.25,4.23,9579.0,1070375.0,2.5,6.66,0.0,0.0,3.07,1.0,4.0,1.0,1.0,0.0,Hidden Opportunity Brand
Flora + Bast,4,205.0,52.0,8.0,2.0,5.0,385.0,25.37,15.38,3.85,1.88,59.13,4.59,199.0,18343.0,0.0,0.75,67.94,4.47,3.01,0.0,0.0,0.0,0.0,0.0,Normal Brand
